Age,AvgWallU,AvgRoofU,AvgFloorU,AvgWindowU,TempAdj,ResponseCat,EnergyRatingCont
126,2.1,2.3,0.61,2.71,0,1,418.42
115,2.01,0.75,0.94,2.63,0.6,1,520.35
48,0.38,0.13,0.68,2.81,0.6,1,281.33
14,0.55,0.26,0.34,2.8,0,1,188.17
14,0.55,0.26,0.41,3.1,0,1,134.95
9,0.34,0.3692,0.24,1.82,0,1,108.77
13,0.55,0.3692,0,2.7,0.6,1,156.65
16,0.55,0.15,0.44,3.4,0.6,3,369.22
27,0.31,0.13,0.57,4.8,0.6,1,287.42
14,0.55,0.4,0.44,2.96,0,1,219.05
116,1.94,0.4,0.69,2.8,0.6,3,747.86
36,1.09,0.49,0.64,4.8,0.6,1,329.39
15,0.29,0.13,0.44,2.8,0.6,1,242.38
26,0.58,0.45,0.42,3.27,0,1,171.26
13,0.6755,0.13,0.44,2.8,0.6,1,191.7
66,0.6755,0.72,0.51,3.33,0,1,394.69
11,0.6755,0.25,0,2.7,0,1,175.42
29,0.57,0.3692,0.48,2.7,0.3,4,404.62
51,1.76,0.33,0.73,4.8,0,1,607.69
16,0.3,0.13,0.36,3.1,0.45,1,167.52
17,0.3,0.13,0.41,2.21,0,1,145.17
36,0.6755,0.61,0.64,4.8,0.6,1,343.61
42,0.55,0.13,0.84,2.8,0,1,244.83
62,1.25,0.37,0.7,4.63,0.6,1,283.37
12,0.55,0.27,0.41,2.71,0.6,1,214.47
30,0.35,0.13,0.48,2.7,0.6,1,190.27
18,0.21,0.23,0.41,1.51,-0.15,1,111.43
24,0.6,0.17,0.64,3.4,0.6,1,244.02
84,0.88,0.54,0.73,3.07,0,1,215.73
10,0.31,0.3692,0.37,2.6,0.6,1,223.94
48,1.35,2,0.53,2.35,0,1,287.41
11,0.37,0.13,0.34,2.29,0,1,171.42
21,0.31,0.4,0.41,3.1,0.6,1,171.88
39,1.78,0.33,0.84,3.1,0,1,334.45
7,0.33,0.3692,0.1,1.8,0,1,119.58
50,1.93,1.1,1.02,2.87,0,1,295.2
11,0.36,0.3692,0,2.3,0,1,99.26
12,0.54,0.3692,0,2.2,0.6,1,178.6
48,0.72,1.45,0.61,2.8,0,1,196.9
116,2.18,1.55,0.84,3.1,0.6,1,564.16
9,0.27,0.17,0.25,2.26,0,2,153.65
8,0.27,0.13,0.25,1.52,0,1,149.85
19,0.55,0.4,0.36,3.1,0.6,1,202.52
41,2.1,0.4,0.73,2.8,0,1,272.03
9,0.37,0.25,0.26,1.7,0,1,110.36
12,0.6755,0.26,0.41,2.8,0,1,224.7
12,0.6755,0.13,0.41,2.82,0,1,209.94
29,0.35,0.2,0.48,2.24,0,1,124.49
43,1.64,0.3692,0.73,2.83,0,1,320
28,0.28,0.18,0.74,2.8,0,1,269.05
11,0.37,0.2,0.34,2,0,1,174.77
13,0.25,0.13,0.44,2.7,0,1,173.77
19,0.51,0.4,0,3.1,0,1,397.01
14,0.55,0.16,0.49,2.7,0,1,229.41
30,0.33,0.13,0,2,0,1,151.45
18,0.49,0.3,0.41,2.8,0,1,164.35
14,0.55,0.4,0.41,2.7,0.6,1,258.88
11,0.37,0.25,0.37,2,0.6,1,190.91
10,0.27,0.22,0.32,2.06,-0.15,1,126.96
27,0.3,0.15,0.64,1.7,0.6,1,210.1
10,0.37,0.22,0.37,2.7,0,1,149.9
35,1.1,0.68,0.57,3.07,0.6,1,369.5
26,0.31,0.18,0.54,3.47,0,1,147.4
32,0.59,0.48,0.48,2.94,0,1,182.69
13,0.55,0.4,0.41,3.23,0.6,1,237.37
10,0.37,0.13,0.34,2.7,0,1,189.97
13,0.55,0.36,0.36,2.7,0,1,159.29
61,0.82,0.19,0.41,3.1,0.6,3,310.56
14,0.55,0.26,0,2.8,0,1,140.69
5,0.22,0.13,0.17,1.7,0,1,90.75
10,0.37,0.25,0.37,2.61,0,1,170.24
8,0.6755,0.2,0.37,2.7,0,1,149.89
36,0.6755,0.13,0.57,2.7,0,1,185.12
9,0.28,0.13,0.25,1.9,0,1,125.73
31,0.6,0.13,0.57,2.7,-0.15,1,158.93
14,0.3,0.13,0.41,2.7,0.6,1,214.19
22,0.29,0.14,0.49,2.7,0.3,3,323.84
66,0.6755,2.34,0.84,4.32,0.6,1,770.5
32,0.27,0.13,0.57,2.8,0.6,1,214.62
11,0.37,0.26,0.34,2.7,0.6,1,196.06
18,0.3,0.13,0.41,2.8,0.3,5,366.91
66,0.74,0.86,0.71,2.71,0,1,294.04
14,0.54,0.38,0.41,2.72,0,1,178.75
58,1.78,1.54,0.61,4.8,0.6,1,374.53
12,0.52,0.3692,0.29,3.3,0,4,246.35
30,0.6,0.4,0.64,2,0.3,4,458.84
62,1.78,0.68,0.91,3.4,0,1,361.35
9,0.37,0.16,0.34,2.2,0,1,165.37
46,0.47,1.26,0.73,1.74,0,1,202.95
26,0.3,0.23,0.57,2.3,0,1,178.99
23,0.57,0.4,0.57,3.4,0.6,1,299.39
14,0.98,0.36,0,3.1,0,1,287.15
31,0.6755,0.4,0.48,2.8,0,1,241.89
11,0.36,0.26,0,2.4,0,1,263.54
12,0.26,0.13,0.41,2.1,0,1,152.08
15,0.55,0.22,0.47,2.3,0.6,1,207.66
28,0.33,0.16,0.48,1.9,0,1,178.47
11,0.37,0.25,0,2.7,0.6,1,174.54
26,0.6,0.4,0.48,2.8,0.3,4,293.58
31,0.6,0.41,0.64,2.8,0.6,1,257.1
26,0.6,0.4,0.51,2.29,0.3,1,382.9
16,0.29,0.13,0.41,2.73,0.6,1,203.75
107,1.64,0.3692,0,3.84,0,1,237.46
38,1.05,0.26,0.56,2.28,0,1,207.81
42,1.1,0.4,0.73,3.16,0.6,1,289.43
11,0.67,0.25,0,2.7,0.3,2,234.65
1,0.15,0.14,0.12,1.41,0,1,50.9
16,0.27,0.13,0.41,3.1,0.6,1,194.33
17,0.85,0.3692,0,3.1,0.3,4,239.46
9,0.37,0.22,0.34,2,0,3,124.53
12,0.97,0.3692,1,2,0,2,338.57
61,1.56,0.68,0.73,2.75,0.45,1,320.68
23,0.6,0.4,0.57,2.7,0,1,294.7
30,0.65,0.49,0.57,2.8,0.6,1,266.54
20,0.6755,0.13,0.41,2.8,0.6,3,260.23
52,1.6,0.49,0.65,3.76,0,1,348.33
35,0.44,0.18,0.48,2.7,0,1,232.22
41,2.1,0.2,0.61,3.21,0,1,242.94
30,0.32,0.13,0.48,2.33,0,1,190.36
13,0.55,0.3692,0,2.8,0.3,4,299.22
15,0.33,0.14,0.36,3.1,0,1,158.41
116,2.1,0.13,1.23,2.8,0.3,3,1459.77
11,0.37,0.26,0.34,2.7,0,1,254.74
77,0.6755,0.3692,0.61,2.76,0.6,1,377.79
11,0.37,0.2,0.37,2.2,0.6,1,195.59
106,0.51,0.25,0.72,3.1,0.6,1,258.66
10,0.37,0.4,0,2.7,0,1,152.84
38,0.44,0.16,0.72,3.1,0.6,1,290.63
17,0.49,0.3692,0,3.48,0,2,266.81
11,0.37,0.21,0.26,2.23,0,1,161.04
38,0.6,0.13,0.64,3.37,0.6,1,295.82
46,1.39,0.85,0.65,3.02,0,1,239.47
40,1.2,0.13,0,2.7,0,1,283.6
14,0.35,0.24,0.41,2.8,0.6,1,198.2
116,2.16,0.75,0.69,2.8,0.3,1,471.98
10,0.37,0.17,0.34,2.2,0,1,170.99
33,0.6,0.49,0.57,2.01,0.6,1,252.58
19,0.48,0.38,0.41,2.74,0.6,1,182.78
33,0.6,0.26,0.64,3.1,0,1,266.37
84,1.06,0.4,0.62,2.84,0.6,1,287.91
22,0.37,0.24,0.41,2.73,0,1,163.96
5,0.17,0.14,0.12,1.8,0,1,84.44
111,2.12,1.41,0.69,3.26,0.6,1,410.28
48,2.1,2.3,0.27,2.7,0.6,1,447.58
16,0.55,0.26,0.41,2.7,0,1,231.28
61,0.4,0.2,0.66,3.29,0.6,1,306.94
31,0.3,0.16,0.38,2.7,0.6,1,198.47
12,0.55,0.14,0.41,2.7,0,1,174.51
32,0.3,0.15,0.64,2.84,0.6,3,486.85
10,0.37,0.25,0.26,2.6,0,1,179.01
10,0.37,0.21,0.34,2.03,0,1,149.12
8,0.37,0.3692,0,2.8,0,1,129.53
14,0.29,0.15,0.41,2.6,0.6,1,215.98
26,0.3,0.13,0.64,2.7,0,1,155.44
76,2.1,2.3,0.61,2.8,0.6,1,472.7
24,0.6,0.4,0.57,3.1,0.6,1,287.14
57,0.6,0.13,0.58,2.2,0,1,157.71
16,0.38,0.17,0.41,2.8,0.6,1,200.68
32,0.31,0.58,0.55,3.09,0.6,1,230.94
39,0.29,0.13,0.84,0,0,1,197.82
12,0.55,0.3692,0.36,2.2,0.6,1,193.4
26,0.6,0.13,0.48,4.8,0.6,1,223.95
12,0.6755,0.13,0.41,2.2,0,1,177.15
36,0.31,0.13,0.49,2.8,0.45,1,216.36
7,0.6755,0.3692,0,1.49,0,1,111.65
69,0.7,0.4,0.48,3.56,0.3,5,425.5
18,0.6755,0.17,0.38,2.44,0,1,162.86
20,0.55,0.24,0.43,2.66,0,1,177.15
86,1.64,2.3,0.73,4.67,0,1,306.53
11,0.37,0.3692,0,2.65,0.3,3,212.87
41,0.7,0.3,0.57,2.51,0.6,1,223.32
96,1.77,2.3,0.79,3.18,0.6,1,567.42
18,0.74,0.3692,0,3.23,0,1,216.32
8,0.37,0.3692,0,2.7,0,1,104.67
41,1.9,0.4,0.65,3.77,0,1,284.92
13,0.55,0.36,0.41,3.1,0,1,219.44
11,0.37,0.2,0.31,2.6,0,1,128.34
46,2.09,0.3692,0.73,3.4,0,1,414.79
29,0.6,0.2,0,2.8,0.3,4,252.11
13,0.64,0.36,1,3.08,0,1,440.45
13,0.55,0.26,0.41,2.83,0,1,156.35
10,0.36,0.19,0.31,2.2,0,1,144.95
42,0.6755,0.13,0.73,2.8,0,1,191.98
16,0.29,0.15,0.45,2.39,0,1,190.12
30,0.82,0.49,0.48,3.1,0,1,275.65
96,0.6755,2.3,0.61,4.8,0.6,3,612.07
46,0.36,0.16,0.44,2.7,0,1,170.31
37,0.92,0.44,0.57,2.2,0.6,1,287.59
12,0.54,0.28,0.44,2.2,0,1,212.24
