BuildingID,EnergyRatingCat
113207,C1
296305,D1
230918,E1
645591,C2
495511,D1
654979,D1
579296,D1
63152,B2
279722,D1
281193,D1
360534,D1
624215,C3
320600,E2
255814,A3
273218,D1
138261,E2
483646,C1
543493,C2
256092,F
457749,C2
182886,D1
138177,D1
600781,C1
450688,C2
556253,E1
82588,D1
298648,D1
635807,G
643291,C1
429197,C2
432150,D1
389842,E1
226346,E1
369070,C1
363646,D1
279007,C2
164646,D1
87080,C2
337906,C1
302042,D1
128268,C1
577179,D1
532430,A2
123943,B3
510279,F
531006,C2
448712,D1
39928,D1
510695,C2
160349,B2
207090,C2
551844,G
429736,C3
247013,E2
354454,G
73803,C2
7553,F
353157,C1
222816,C3
598563,F
589110,E1
383253,C3
615581,E1
163363,D1
463976,E1
425322,B3
429564,D1
501072,C1
294727,D1
254521,F
134833,D1
154414,C3
420815,D1
165724,C2
519691,E2
205659,E1
310708,G
593445,D1
152527,D1
148418,F
427172,D1
353737,D1
273422,D1
162364,D1
497161,C3
567145,F
121061,D1
516639,A2
166505,D1
611954,C1
196242,C3
440899,D1
176113,D1
603531,A3
626953,E2
567983,B2
462914,E1
221457,C1
618458,D1
204041,C1
481129,F
113804,C3
261297,G
258752,C1
72402,C2
83004,B3
419207,C3
347386,F
174848,D1
162720,C2
659425,G
638040,D1
335837,G
135317,C3
160334,D1
277960,D1
47768,E2
324210,F
358089,D1
405416,C2
360699,D1
497048,G
216520,E2
302043,E2
339087,F
107619,C1
135882,C3
36419,B2
200566,G
612259,C3
87857,D1
635251,C2
411883,G
567446,C3
642279,C3
651603,C1
617595,E1
314774,D1
447059,C1
324289,C1
286445,G
482097,D1
44363,D1
17220,B3
245154,C3
113619,C3
425769,B2
509825,C1
329775,D1
398497,D1
87335,E2
499164,G
179485,B2
489426,B3
422252,C3
472776,E1
653776,C3
91788,C1
543157,E1
660405,D1
338505,C2
653533,D1
483429,C3
141539,C3
472124,D1
411166,C1
149678,G
196420,D1
301825,A3
190789,C2
57494,C2
10855,C2
645702,C3
384555,E2
284655,C2
38446,D1
564016,G
45639,C2
117814,E1
99090,C1
212165,G
17811,B2
179586,C3
316139,C3
42994,B3
610398,C3
218764,C3
617169,E1
176670,G
46247,D1
264793,D1
496404,B2
613980,E1
660433,C3
170337,D1
212005,C2
353546,D1
14087,B2
579810,D1
190155,D1
37832,C3
93120,C3
190810,F
616443,E2
498692,C2
172751,F
520594,G
478289,C2
216393,C2
642764,D1
289537,E2
220603,F
260679,C2
596073,C2
379166,G
249831,E1
395212,C2
75873,C2
191544,C2
644768,C3
663310,C1
153342,C1
422355,A2
21831,C3
205075,C3
203555,C2
485480,C1
481059,C3
384019,C2
229081,E2
123401,C2
547642,D1
332586,C2
364651,F
554949,F
205088,D1
434532,G
346172,G
514850,D1
207585,B2
119609,F
417564,C1
375702,E2
170668,C3
286392,C3
465087,C3
578027,C2
420894,C2
419288,E2
430092,G
54778,F
635508,C1
574941,D1
163999,C1
233438,C2
626994,D1
618749,E1
353527,C2
83966,C3
438011,C2
217011,C2
556525,C3
403664,C3
530694,E1
132945,C3
558608,D1
415486,C2
60077,C3
201165,D1
577975,D1
615199,D1
123160,D1
401787,E1
261017,C2
9806,C2
494930,C3
399945,C2
570319,A1
179270,D1
315754,G
180584,C1
98560,C3
293842,C3
178214,D1
537273,G
57295,F
200389,C2
298364,E2
139804,D1
230400,C3
598069,D1
380898,F
293522,E1
413283,E2
594574,D1
35434,D1
11421,C1
530065,D1
166783,B1
315219,D1
114513,D1
590460,C3
589968,C2
362259,F
66991,F
519000,D1
568769,C3
394386,C1
342372,D1
40128,B2
57278,E2
157350,C3
554799,D1
152575,C3
177334,C1
323248,F
279621,C1
130083,D1
353708,C1
219678,D1
31383,C2
97881,C3
651727,E2
75742,E1
221970,G
213918,B3
178974,E1
210241,D1
284315,C3
259196,C2
608064,B1
124010,E1
43830,E1
396139,C1
197709,C3
145636,D1
397005,C2
251260,G
439046,F
554190,D1
155624,C2
628483,C1
195655,D1
49957,C2
628164,A3
378063,C2
95270,C1
487262,D1
199335,C2
174864,G
332264,C3
544606,D1
194272,C2
384736,E1
278288,E1
175562,C2
